City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sosnogorsk,63.6023,53.8817,19.17,82,76,7.02,RU,1636865487
Mercedes,-34.6515,-59.4307,64.18,98,100,6.04,AR,1636865487
Itoman,26.1247,127.6694,73.78,73,75,19.57,JP,1636865471
Ushuaia,-54.8,-68.3,42.55,85,100,0.92,AR,1636865165
New Norfolk,-42.7826,147.0587,52.92,57,100,8.99,AU,1636865208
Cidreira,-30.1811,-50.2056,65.86,78,0,24.11,BR,1636865241
Castro,-24.7911,-50.0119,48.15,98,68,6.24,BR,1636865129
Nouadhibou,20.931,-17.0347,67.98,68,7,12.66,MR,1636865134
Belmonte,-15.8631,-38.8828,68.5,91,100,15.1,BR,1636865491
Albany,42.6001,-73.9662,39.4,87,22,5.01,US,1636864961
Masuguru,-11.3667,38.4167,80.62,64,8,5.86,TZ,1636865492
Rikitea,-23.1203,-134.9692,73.49,72,88,12.24,PF,1636865134
Atuona,-9.8,-139.0333,77.81,71,0,12.37,PF,1636865185
Hilo,19.7297,-155.09,75.11,93,90,5.75,US,1636865151
Hong Kong,22.2855,114.1577,77.97,51,12,1.99,HK,1636865010
Cape Town,-33.9258,18.4232,64.11,73,0,4.0,ZA,1636864921
Karatuzskoye,53.6072,92.8667,33.85,95,100,4.54,RU,1636865496
Staryy Nadym,65.6118,72.6842,4.32,94,69,6.46,RU,1636865497
Malakal,9.5334,31.6605,79.61,57,6,4.54,SS,1636865498
Makkah al Mukarramah,21.4267,39.8261,79.23,57,27,1.79,SA,1636865498
Punta Arenas,-53.15,-70.9167,48.31,71,90,5.75,CL,1636865145
San Miguel de Cozumel,20.5083,-86.9458,75.18,92,31,9.78,MX,1636865500
Barrow,71.2906,-156.7887,19.42,68,90,17.27,US,1636865168
Tāybād,34.74,60.7756,45.66,56,0,5.39,IR,1636865501
Siljan,59.2884,9.71,36.18,90,9,3.11,NO,1636865502
Hobart,-42.8794,147.3294,53.26,65,75,1.01,AU,1636865153
Antalaha,-14.9003,50.2788,79.54,67,71,4.79,MG,1636865503
Bambous Virieux,-20.3428,57.7575,81.21,69,40,12.66,MU,1636865301
Codajás,-3.8367,-62.0569,73.22,98,99,0.67,BR,1636865505
Torbay,47.6666,-52.7314,54.28,94,90,29.93,CA,1636865183
São Filipe,14.8961,-24.4956,75.27,72,56,7.58,CV,1636865309
Saskylakh,71.9167,114.0833,-16.49,96,11,8.59,RU,1636865142
Ngama,11.7833,17.1667,77.65,23,25,8.12,TD,1636865507
Farim,12.4839,-15.2217,76.96,61,100,0.87,GW,1636865508
Vila Velha,-20.3297,-40.2925,64.35,96,90,1.01,BR,1636865219
Busselton,-33.65,115.3333,75.09,38,94,9.91,AU,1636865149
Severo-Kuril'sk,50.6789,156.125,38.62,75,56,19.89,RU,1636865214
Gijang,35.2442,129.2139,64.13,44,0,7.45,KR,1636865510
Tura,25.5198,90.2201,74.66,57,6,2.46,IN,1636865287
Meulaboh,4.1363,96.1285,83.41,68,100,1.14,ID,1636865206
Ishigaki,24.3448,124.1572,71.73,83,75,19.57,JP,1636865512
Ribeira Grande,38.5167,-28.7,62.69,69,64,27.45,PT,1636865264
Batticaloa,7.7102,81.6924,81.91,69,99,4.07,LK,1636865513
Karratha,-20.7377,116.8463,90.36,18,31,16.51,AU,1636865514
Mataura,-46.1927,168.8643,54.64,80,96,2.62,NZ,1636865135
